Filename,speaker,gender,passage,trial,word,frequency,phoneme,duration,f0_midpoint,F1_midpoint,F2_midpoint,,,,health,high
STE-367_1_1,4,F,1,1,example,high,{,0.092479267,198.0935262,812.6680352,1917.294572,,,,,
STE-367_1_1,4,F,1,1,embittering,low,E,0.084506916,214.0528531,538.6542869,2835.201198,,,,,
STE-367_1_1,4,F,1,1,effect,high,E,0.13393549,229.0459024,921.1616579,1953.211361,,,,,
STE-367_1_1,4,F,1,1,tax,high,{,0.063778805,205.8203744,705.4095817,1911.08392,,,,,
STE-367_1_2,4,F,1,2,health,high,E,0.120081475,244.0643797,965.2268425,1688.1563,,,,,
STE-367_1_2,4,F,1,2,peppy,low,E,0.07258258,261.9543827,842.4366623,2015.885345,,,,,
STE-367_1_2,4,F,1,2,sectary,low,E,0.082189098,253.4480108,843.2540852,1871.569327,,,,,
STE-367_1_2,4,F,1,2,cases,high,eI,0.117412997,--undefined--,410.9096423,2909.430384,,,,,
STE-367_1_2,4,F,1,2,demarcations,low,eI,0.107806479,227.5064235,435.0910975,2076.549093,,,,,
STE-367_1_2,4,F,1,2,unless,high,E,0.082189098,275.8373901,791.5130817,1982.413349,,,,,
STE-367_1_2,4,F,1,2,relegated,low,E,0.046965199,217.1588859,511.2679088,1911.165888,,,,,
STE-367_1_2,4,F,1,2,interface,high,eI,0.122048767,223.0597458,555.8542512,1989.695529,,,,,
STE-367_1_2,4,F,1,2,claimed,high,eI,0.115124014,249.8658627,932.3166762,2203.110658,,,,,
STE-367_1_2,4,F,1,2,terracottas,low,E,0.09088738,204.5557554,615.5901686,1726.437099,,,,,
STE-367_1_2,4,F,1,2,traded,high,eI,0.161866095,223.6085246,501.4767463,2099.614449,,,,,
STE-367_1_2,4,F,1,2,alginate,low,{,0.053666834,225.8626584,891.3227278,2010.182201,,,,,
STE-367_1_2,4,F,1,2,crackpot,low,{,0.100408915,212.8509652,847.8199993,1527.224248,,,,,
STE-367_1_2,4,F,1,2,as,high,{,0.06145718,214.7352642,858.7596389,1892.49989,,,,,
STE-367_1_2,4,F,1,2,example,high,{,0.100408915,199.8629587,781.2046167,1960.45559,,,,,
STE-367_1_2,4,F,1,2,embittering,low,E,0.067516339,216.4006541,461.4993192,2884.102571,,,,,
STE-367_1_2,4,F,1,2,effect,high,E,0.122048767,217.3943773,842.9368716,1902.909649,,,,,
STE-367_1_2,4,F,1,2,tax,high,{,0.041548516,214.874772,629.035839,1904.175259,,,,,
STE-367_2_1,4,F,2,1,neighborhood,high,eI,0.104200149,231.4456982,716.824318,1871.161398,,,,,
STE-367_2_1,4,F,2,1,rattling,low,{,0.088876598,250.0688479,1066.635819,1740.884755,,,,,
STE-367_2_1,4,F,2,1,several,high,E,0.073553046,215.9776743,603.8086789,1810.870041,,,,,
STE-367_2_1,4,F,2,1,lasses,low,{,0.082747177,212.5990838,496.4558491,2028.914049,,,,,
STE-367_2_1,4,F,2,1,prefab,low,{,0.12258841,205.8067612,912.296538,1864.265352,,,,,
